Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,0.01,0.04,0.06,-0.01,-0.12,-0.24,-0.16,0.07,-0.05,-0.14,0.01,0.06,-0.04,***,***,-0.02,-0.11,-0.06
1881,-0.08,-0.05,0.1,0.1,0.09,-0.05,-0.07,-0.02,-0.04,0,0.01,0.1,0.01,0.01,-0.02,0.1,-0.04,-0.01
1882,0.07,0.08,0.08,-0.01,-0.03,-0.15,-0.04,0.01,-0.04,0.04,0,-0.06,0,0.01,0.08,0.01,-0.06,0
1883,-0.02,-0.08,-0.08,-0.07,-0.09,-0.02,-0.08,-0.05,-0.1,-0.06,-0.04,-0.06,-0.06,-0.06,-0.05,-0.08,-0.05,-0.06
1884,-0.08,-0.05,-0.1,-0.21,-0.31,-0.29,-0.21,-0.06,-0.11,-0.06,-0.1,-0.15,-0.14,-0.14,-0.06,-0.21,-0.19,-0.09
1885,-0.19,-0.22,-0.29,-0.35,-0.32,-0.42,-0.33,-0.22,-0.19,-0.13,-0.11,-0.09,-0.24,-0.24,-0.19,-0.32,-0.32,-0.14
1886,-0.14,-0.2,-0.16,-0.2,-0.15,-0.32,-0.21,-0.18,-0.14,-0.24,-0.15,-0.28,-0.2,-0.18,-0.14,-0.17,-0.24,-0.18
1887,-0.36,-0.43,-0.27,-0.31,-0.35,-0.28,-0.26,-0.16,-0.29,-0.22,-0.24,-0.22,-0.28,-0.29,-0.36,-0.31,-0.23,-0.25
1888,-0.2,-0.13,-0.21,-0.19,-0.29,-0.31,-0.2,-0.1,-0.04,0.06,0.07,0.15,-0.12,-0.15,-0.18,-0.23,-0.2,0.03
1889,0.09,0.04,0.13,0.03,0.02,-0.13,-0.06,-0.19,-0.17,-0.09,-0.05,-0.03,-0.03,-0.02,0.09,0.06,-0.13,-0.1
1890,-0.2,-0.31,-0.33,-0.34,-0.43,-0.32,-0.32,-0.38,-0.37,-0.39,-0.24,-0.16,-0.32,-0.3,-0.18,-0.36,-0.34,-0.33
1891,-0.2,-0.25,-0.2,-0.19,-0.16,-0.28,-0.22,-0.21,-0.23,-0.15,-0.09,-0.05,-0.19,-0.2,-0.2,-0.18,-0.24,-0.16
1892,-0.08,-0.05,-0.13,-0.21,-0.22,-0.38,-0.25,-0.2,-0.12,0,-0.02,-0.1,-0.15,-0.14,-0.06,-0.19,-0.28,-0.05
1893,-0.12,-0.17,-0.11,-0.23,-0.23,-0.32,-0.13,-0.16,-0.16,-0.08,-0.02,-0.02,-0.15,-0.15,-0.13,-0.19,-0.2,-0.08
1894,-0.13,-0.15,-0.23,-0.34,-0.34,-0.39,-0.25,-0.19,-0.22,-0.17,-0.02,-0.05,-0.21,-0.2,-0.1,-0.3,-0.28,-0.13
1895,-0.12,-0.05,-0.15,-0.24,-0.23,-0.2,-0.13,-0.05,-0.18,-0.11,-0.2,-0.05,-0.14,-0.14,-0.07,-0.21,-0.13,-0.16
1896,-0.07,-0.06,-0.02,0,-0.14,-0.28,-0.04,0.02,-0.01,0.1,0.13,0.14,-0.02,-0.04,-0.06,-0.06,-0.1,0.07
1897,0.1,0.08,0.13,0.01,-0.15,-0.15,-0.07,-0.1,-0.09,-0.09,-0.08,-0.11,-0.04,-0.02,0.11,0,-0.11,-0.09
1898,-0.08,-0.15,-0.22,-0.33,-0.32,-0.29,-0.32,-0.35,-0.24,-0.31,-0.24,-0.19,-0.25,-0.25,-0.11,-0.29,-0.32,-0.26
1899,-0.18,-0.12,-0.13,-0.16,-0.2,-0.26,-0.14,-0.09,-0.04,-0.11,-0.08,-0.05,-0.13,-0.14,-0.16,-0.16,-0.16,-0.07
1900,-0.09,0.04,-0.04,-0.07,-0.12,-0.08,-0.12,-0.07,-0.05,-0.01,0.02,-0.09,-0.06,-0.05,-0.03,-0.07,-0.09,-0.01
1901,-0.09,-0.11,-0.13,-0.14,-0.17,-0.23,-0.28,-0.23,-0.16,-0.25,-0.11,-0.13,-0.17,-0.17,-0.1,-0.15,-0.25,-0.17
1902,-0.17,-0.13,-0.16,-0.17,-0.24,-0.21,-0.21,-0.29,-0.23,-0.26,-0.24,-0.22,-0.21,-0.2,-0.15,-0.19,-0.24,-0.24
1903,-0.23,-0.22,-0.29,-0.35,-0.35,-0.38,-0.26,-0.34,-0.5,-0.47,-0.42,-0.45,-0.36,-0.34,-0.22,-0.33,-0.33,-0.46
1904,-0.5,-0.55,-0.56,-0.5,-0.58,-0.47,-0.42,-0.42,-0.47,-0.38,-0.25,-0.31,-0.45,-0.46,-0.5,-0.55,-0.44,-0.37
1905,-0.27,-0.35,-0.2,-0.2,-0.28,-0.26,-0.29,-0.15,-0.17,-0.2,-0.2,-0.07,-0.22,-0.24,-0.31,-0.23,-0.23,-0.19
1906,0.02,-0.03,-0.16,-0.14,-0.26,-0.27,-0.18,-0.22,-0.32,-0.22,-0.34,-0.32,-0.2,-0.18,-0.03,-0.19,-0.22,-0.29
1907,-0.26,-0.29,-0.24,-0.28,-0.34,-0.32,-0.29,-0.28,-0.28,-0.25,-0.35,-0.34,-0.29,-0.29,-0.29,-0.28,-0.3,-0.29
1908,-0.34,-0.38,-0.39,-0.4,-0.45,-0.46,-0.34,-0.35,-0.4,-0.43,-0.4,-0.43,-0.4,-0.39,-0.35,-0.42,-0.38,-0.41
1909,-0.5,-0.46,-0.41,-0.52,-0.59,-0.51,-0.45,-0.31,-0.4,-0.45,-0.52,-0.55,-0.47,-0.46,-0.46,-0.5,-0.43,-0.46
1910,-0.48,-0.44,-0.52,-0.44,-0.38,-0.32,-0.3,-0.33,-0.34,-0.5,-0.52,-0.52,-0.42,-0.43,-0.49,-0.45,-0.32,-0.45
1911,-0.52,-0.55,-0.57,-0.6,-0.57,-0.65,-0.45,-0.44,-0.43,-0.32,-0.2,-0.1,-0.45,-0.48,-0.53,-0.58,-0.51,-0.32
1912,-0.13,-0.11,-0.13,-0.17,-0.28,-0.31,-0.31,-0.29,-0.33,-0.29,-0.24,-0.28,-0.24,-0.22,-0.11,-0.19,-0.31,-0.29
1913,-0.24,-0.24,-0.37,-0.28,-0.32,-0.39,-0.19,-0.19,-0.26,-0.23,-0.23,-0.13,-0.26,-0.27,-0.25,-0.32,-0.26,-0.24
1914,-0.06,-0.08,-0.11,-0.18,-0.22,-0.27,-0.12,-0.04,-0.02,-0.04,-0.06,-0.01,-0.1,-0.11,-0.09,-0.17,-0.14,-0.04
1915,-0.12,0.03,0.06,0.07,-0.09,-0.29,-0.12,-0.26,-0.19,-0.2,-0.21,-0.17,-0.13,-0.11,-0.03,0.01,-0.23,-0.2
1916,-0.15,-0.12,-0.16,-0.25,-0.33,-0.48,-0.39,-0.2,-0.24,-0.31,-0.47,-0.51,-0.3,-0.27,-0.15,-0.25,-0.36,-0.34
1917,-0.61,-0.58,-0.53,-0.46,-0.38,-0.38,-0.18,-0.05,-0.16,-0.27,-0.35,-0.29,-0.35,-0.37,-0.57,-0.45,-0.21,-0.26
1918,-0.28,-0.24,-0.26,-0.3,-0.37,-0.29,-0.28,-0.26,-0.09,-0.05,0.03,0.01,-0.2,-0.22,-0.27,-0.31,-0.28,-0.04
1919,0,-0.04,-0.02,0,-0.12,-0.31,-0.24,-0.36,-0.3,-0.29,-0.33,-0.27,-0.19,-0.17,-0.01,-0.05,-0.3,-0.31
1920,-0.31,-0.22,-0.24,-0.27,-0.32,-0.44,-0.33,-0.19,-0.06,-0.11,-0.07,-0.2,-0.23,-0.24,-0.27,-0.27,-0.32,-0.08
1921,-0.27,-0.26,-0.35,-0.42,-0.34,-0.36,-0.24,-0.2,-0.17,-0.05,-0.16,-0.21,-0.25,-0.25,-0.24,-0.37,-0.27,-0.13
1922,-0.28,-0.25,-0.18,-0.29,-0.46,-0.46,-0.27,-0.3,-0.28,-0.32,-0.17,-0.23,-0.29,-0.29,-0.25,-0.31,-0.34,-0.26
1923,-0.37,-0.31,-0.29,-0.28,-0.28,-0.34,-0.33,-0.38,-0.43,-0.32,-0.18,-0.16,-0.31,-0.31,-0.31,-0.28,-0.35,-0.31
1924,-0.16,-0.24,-0.18,-0.33,-0.29,-0.32,-0.34,-0.46,-0.41,-0.47,-0.52,-0.51,-0.35,-0.32,-0.19,-0.26,-0.37,-0.47
1925,-0.5,-0.43,-0.33,-0.35,-0.36,-0.39,-0.26,-0.2,-0.33,-0.24,-0.11,-0.08,-0.3,-0.33,-0.48,-0.35,-0.28,-0.23
1926,-0.11,-0.12,-0.14,-0.11,-0.22,-0.28,-0.33,-0.19,-0.24,-0.28,-0.28,-0.28,-0.22,-0.2,-0.1,-0.16,-0.27,-0.27
1927,-0.25,-0.27,-0.3,-0.34,-0.38,-0.4,-0.29,-0.31,-0.28,-0.25,-0.19,-0.26,-0.29,-0.3,-0.27,-0.34,-0.34,-0.24
1928,-0.29,-0.26,-0.26,-0.23,-0.42,-0.44,-0.28,-0.26,-0.26,-0.29,-0.22,-0.29,-0.29,-0.29,-0.27,-0.3,-0.33,-0.26
1929,-0.33,-0.36,-0.46,-0.47,-0.48,-0.47,-0.38,-0.44,-0.3,-0.26,-0.18,-0.41,-0.38,-0.37,-0.33,-0.47,-0.43,-0.25
1930,-0.47,-0.34,-0.33,-0.34,-0.29,-0.32,-0.37,-0.3,-0.28,-0.24,-0.07,-0.17,-0.29,-0.31,-0.41,-0.32,-0.33,-0.2
1931,-0.19,-0.16,-0.13,-0.23,-0.23,-0.3,-0.14,-0.16,-0.29,-0.26,-0.36,-0.2,-0.22,-0.22,-0.17,-0.2,-0.2,-0.3
1932,-0.09,-0.15,-0.15,-0.21,-0.25,-0.42,-0.35,-0.35,-0.31,-0.31,-0.21,-0.3,-0.26,-0.25,-0.15,-0.2,-0.37,-0.28
1933,-0.26,-0.27,-0.27,-0.31,-0.31,-0.37,-0.3,-0.33,-0.32,-0.33,-0.38,-0.36,-0.32,-0.31,-0.28,-0.29,-0.34,-0.34
1934,-0.29,-0.4,-0.33,-0.33,-0.27,-0.27,-0.16,-0.14,-0.16,-0.26,-0.2,-0.22,-0.25,-0.26,-0.35,-0.31,-0.19,-0.21
1935,-0.27,-0.3,-0.32,-0.38,-0.29,-0.39,-0.37,-0.36,-0.35,-0.22,-0.19,-0.16,-0.3,-0.31,-0.26,-0.33,-0.38,-0.25
1936,-0.26,-0.25,-0.3,-0.34,-0.32,-0.48,-0.28,-0.28,-0.25,-0.13,-0.12,-0.18,-0.26,-0.26,-0.22,-0.32,-0.35,-0.16
1937,-0.24,-0.18,-0.18,-0.24,-0.22,-0.24,-0.21,-0.12,-0.11,-0.16,-0.07,-0.14,-0.18,-0.18,-0.2,-0.21,-0.19,-0.11
1938,-0.2,-0.22,-0.16,-0.21,-0.23,-0.29,-0.18,-0.22,-0.17,-0.05,-0.18,-0.14,-0.19,-0.19,-0.18,-0.2,-0.23,-0.13
1939,-0.15,-0.14,-0.13,-0.13,-0.11,-0.14,-0.15,-0.19,-0.27,-0.16,-0.1,0.09,-0.13,-0.15,-0.14,-0.12,-0.16,-0.18
1940,0.11,0.03,0.16,0.08,0.06,0.06,0.09,0.09,0.06,-0.04,0.06,0.29,0.09,0.07,0.08,0.1,0.08,0.03
1941,0.2,0.16,0.09,0.22,0.13,0.07,0.21,0.13,-0.03,0.23,0.29,0.25,0.16,0.17,0.22,0.15,0.14,0.16
1942,0.18,0.13,0.11,0.09,0.05,-0.01,0,0,-0.17,-0.26,-0.09,-0.04,0,0.02,0.19,0.09,0,-0.17
1943,0.06,-0.05,-0.08,-0.11,-0.11,-0.05,0.17,-0.08,-0.04,-0.01,0.03,0.08,-0.02,-0.03,-0.01,-0.1,0.01,0
1944,0.08,0.04,0.21,0.21,0.14,0.16,0.23,0.22,0.2,0.08,0.03,0.09,0.14,0.14,0.07,0.19,0.2,0.1
1945,0.09,0.07,0.03,0.09,0.04,-0.06,0.02,0.24,0.21,0.13,0.07,0.08,0.09,0.09,0.09,0.05,0.07,0.14
1946,-0.03,-0.03,-0.09,-0.21,-0.17,-0.37,-0.21,-0.31,-0.13,-0.18,-0.18,-0.15,-0.17,-0.15,0.01,-0.15,-0.3,-0.16
1947,-0.08,-0.12,-0.17,-0.11,-0.09,-0.04,-0.05,-0.1,-0.24,-0.27,-0.15,-0.22,-0.14,-0.13,-0.12,-0.12,-0.06,-0.22
1948,-0.18,-0.15,-0.22,-0.21,-0.18,-0.16,-0.23,-0.26,-0.27,-0.19,-0.28,-0.09,-0.2,-0.21,-0.18,-0.2,-0.22,-0.25
1949,-0.1,-0.2,-0.09,-0.2,-0.21,-0.35,-0.16,-0.21,-0.19,-0.21,-0.25,-0.23,-0.2,-0.19,-0.13,-0.16,-0.24,-0.22
1950,-0.24,-0.27,-0.22,-0.21,-0.19,-0.06,-0.01,-0.13,-0.15,-0.36,-0.35,-0.32,-0.21,-0.2,-0.24,-0.2,-0.07,-0.29
1951,-0.33,-0.32,-0.22,-0.35,-0.18,-0.12,-0.09,-0.1,-0.22,-0.11,-0.08,-0.06,-0.18,-0.2,-0.32,-0.25,-0.1,-0.14
1952,0.07,0.06,0.07,-0.1,-0.19,-0.22,-0.05,0.02,0,0.01,-0.05,-0.03,-0.03,-0.04,0.03,-0.07,-0.08,-0.01
1953,-0.08,-0.07,-0.03,-0.01,-0.01,-0.01,-0.18,-0.07,-0.08,-0.1,-0.12,-0.11,-0.07,-0.07,-0.06,-0.02,-0.09,-0.1
1954,-0.23,-0.19,-0.12,-0.27,-0.33,-0.34,-0.28,-0.34,-0.29,-0.18,-0.2,-0.26,-0.25,-0.24,-0.18,-0.24,-0.32,-0.22
1955,-0.17,-0.19,-0.22,-0.22,-0.29,-0.19,-0.19,-0.05,-0.21,-0.24,-0.19,-0.29,-0.2,-0.2,-0.21,-0.24,-0.14,-0.21
1956,-0.22,-0.17,-0.19,-0.3,-0.29,-0.13,0,-0.24,-0.07,-0.19,-0.05,-0.03,-0.16,-0.18,-0.23,-0.26,-0.12,-0.11
1957,-0.04,-0.01,0,0.09,0.23,0.19,-0.06,0.14,0.05,-0.04,0.04,0.06,0.05,0.05,-0.03,0.11,0.09,0.02
1958,0.09,0.16,0.01,0.01,0,-0.2,0.06,-0.21,-0.11,0.01,0.02,-0.15,-0.03,-0.01,0.11,0.01,-0.12,-0.03
1959,-0.08,-0.02,0.03,0.09,0.05,-0.07,0.02,-0.11,-0.25,-0.1,-0.18,-0.1,-0.06,-0.06,-0.08,0.06,-0.05,-0.17
1960,-0.15,-0.15,-0.29,-0.17,-0.19,-0.25,-0.16,-0.07,0.02,0.06,-0.14,-0.02,-0.13,-0.13,-0.14,-0.21,-0.16,-0.02
1961,-0.03,0.08,-0.03,0.12,0.18,0.05,-0.04,-0.04,0.19,0.04,-0.01,-0.15,0.03,0.04,0.01,0.09,-0.01,0.07
1962,-0.17,-0.07,-0.1,-0.13,-0.15,0.19,-0.06,-0.06,0.03,-0.1,0,-0.15,-0.06,-0.06,-0.13,-0.13,0.02,-0.02
1963,-0.14,-0.14,-0.16,-0.18,-0.07,0.13,0.02,0.3,0.22,-0.12,-0.12,-0.08,-0.03,-0.03,-0.14,-0.14,0.15,0
1964,-0.13,-0.17,-0.1,-0.32,-0.39,0.01,0.04,-0.2,-0.31,-0.32,-0.21,-0.33,-0.2,-0.18,-0.13,-0.27,-0.05,-0.28
1965,-0.14,0.02,-0.16,-0.12,-0.1,0.04,-0.08,0.12,-0.09,-0.08,-0.15,-0.07,-0.07,-0.09,-0.15,-0.13,0.03,-0.11
1966,-0.13,-0.12,0.08,-0.04,-0.19,-0.04,0.06,-0.3,-0.12,-0.23,-0.03,-0.02,-0.09,-0.09,-0.1,-0.05,-0.09,-0.13
1967,0.03,-0.03,-0.14,-0.15,0.04,-0.1,-0.01,-0.06,-0.1,-0.12,-0.14,-0.12,-0.08,-0.07,-0.01,-0.08,-0.05,-0.12
1968,-0.21,-0.13,-0.04,-0.11,-0.22,-0.14,-0.17,-0.09,-0.32,0.18,0.12,0.05,-0.09,-0.1,-0.16,-0.13,-0.13,0
1969,0.22,0.12,0.22,0.31,0.26,0.11,-0.13,0.04,0.14,0.17,0.1,0.19,0.15,0.13,0.13,0.27,0.01,0.14
1970,0.2,0.17,0.19,0.13,-0.06,-0.06,0.07,-0.15,0.27,0.25,0.02,0.05,0.09,0.1,0.18,0.09,-0.05,0.18
1971,0.09,-0.11,-0.08,0.06,0.01,-0.2,-0.03,0.13,0.02,0.06,-0.14,-0.04,-0.02,-0.01,0.01,0,-0.03,-0.02
1972,0.09,0.17,0.04,0.12,0.09,0.18,0.08,0.4,0.3,0.21,0.25,0.41,0.2,0.16,0.07,0.08,0.22,0.25
1973,0.43,0.21,0.26,0.36,0.36,0.21,0.21,0.08,0.25,0.26,0.17,-0.1,0.23,0.27,0.35,0.33,0.17,0.23
1974,0.05,-0.19,-0.14,-0.14,0.11,0.08,0.06,0.31,0,0.11,0.05,0.09,0.03,0.02,-0.08,-0.06,0.15,0.05
1975,0.03,0.06,0.14,0.02,0.32,0.05,0.04,-0.2,0.02,-0.06,-0.05,-0.13,0.02,0.04,0.06,0.16,-0.03,-0.03
1976,-0.12,-0.01,-0.12,-0.17,-0.15,-0.05,0.07,-0.03,0,0.04,0.21,0.47,0.01,-0.04,-0.09,-0.15,0,0.08
1977,0.52,0.34,0.22,0.27,0.42,0.31,0.32,0.33,-0.08,0.09,0.06,0.04,0.24,0.27,0.44,0.31,0.32,0.02
1978,-0.03,0.16,0.17,0.26,0.24,0.11,0.16,-0.12,0.12,0.06,0.11,0.14,0.11,0.11,0.06,0.22,0.05,0.1
1979,0.22,0.16,0.2,0.47,0.07,0.21,0.03,0.3,0.31,0.29,0.33,0.41,0.25,0.23,0.17,0.25,0.18,0.31
1980,0.38,0.38,0.52,0.45,0.44,0.23,0.31,0.28,0.31,0.15,0.38,0.34,0.35,0.35,0.39,0.47,0.27,0.28
1981,0.25,0.21,0.28,0.26,0.31,0.3,0.54,0.53,0.16,0.02,0.12,0.28,0.27,0.28,0.27,0.28,0.46,0.1
1982,0.24,0.15,0.01,0.13,0.26,0.11,0.25,0.15,0.23,0.27,0.47,0.48,0.23,0.21,0.22,0.13,0.17,0.32
1983,0.51,0.51,0.41,0.49,0.63,0.36,0.18,0.46,0.48,0.22,0.12,0.23,0.38,0.4,0.5,0.51,0.33,0.28
1984,0.28,0.26,0.35,0.19,0.42,-0.03,0.3,0.33,0.46,0.2,0.24,0.33,0.28,0.27,0.26,0.32,0.2,0.3
1985,0.37,0.22,0.35,0.27,0.2,0.29,0.15,0.34,0.23,0.21,0.08,0.12,0.24,0.25,0.31,0.27,0.26,0.17
1986,0.16,0.42,0.34,0.3,0.23,0.1,0.25,0.28,0.09,0.23,0.17,0.2,0.23,0.22,0.23,0.29,0.21,0.16
1987,0.39,0.36,0.38,0.43,0.29,0.53,0.56,0.24,0.33,0.44,0.49,0.43,0.41,0.39,0.32,0.36,0.45,0.42
1988,0.54,0.43,0.56,0.41,0.45,0.4,0.24,0.52,0.46,0.51,0.18,0.14,0.4,0.43,0.47,0.47,0.39,0.39
1989,0.16,0.19,0.26,0.25,0.12,0.1,0.36,0.4,0.45,0.33,0.27,0.4,0.27,0.25,0.16,0.21,0.29,0.35
1990,0.35,0.33,0.42,0.42,0.41,0.28,0.58,0.28,0.05,0.42,0.48,0.43,0.37,0.37,0.36,0.42,0.38,0.32
1991,0.26,0.43,0.25,0.46,0.36,0.59,0.52,0.43,0.52,0.29,0.27,0.43,0.4,0.4,0.37,0.36,0.51,0.36
1992,0.34,0.3,0.41,0.39,0.44,0.47,0.27,0.24,0.17,0.29,0.14,0.21,0.31,0.33,0.36,0.42,0.33,0.2
1993,0.3,0.21,0.33,0.32,0.26,0.25,0.38,0.2,0.3,0.34,0.29,0.15,0.28,0.28,0.24,0.31,0.28,0.31
1994,0.19,0.1,0.09,0.34,0.17,0.45,0.27,0.11,0.31,0.3,0.39,0.4,0.26,0.24,0.14,0.2,0.28,0.33
1995,0.29,0.38,0.34,0.22,0.13,0.37,0.53,0.38,0.25,0.35,0.31,0.24,0.32,0.33,0.36,0.23,0.42,0.31
1996,0.21,0.38,0.33,0.47,0.21,0.26,0.43,0.76,0.45,0.35,0.42,0.39,0.39,0.38,0.28,0.34,0.49,0.4
1997,0.26,0.21,0.28,0.18,0.26,0.6,0.28,0.37,0.54,0.6,0.71,0.69,0.42,0.39,0.29,0.24,0.42,0.62
1998,0.56,0.72,0.54,0.4,0.7,0.82,0.59,0.6,0.24,0.31,0.38,0.37,0.52,0.55,0.66,0.55,0.67,0.31
1999,0.38,0.27,0.36,0.09,0.17,0.38,0.41,0.33,0.36,0.29,0.22,0.17,0.28,0.3,0.34,0.21,0.37,0.29
2000,0.12,0.22,0.26,0.23,0.17,0.35,0.36,0.36,0.4,0.27,0.41,0.3,0.29,0.28,0.17,0.22,0.36,0.36
2001,0.35,0.42,0.35,0.42,0.46,0.52,0.55,0.33,0.47,0.42,0.48,0.47,0.44,0.42,0.35,0.41,0.47,0.46
2002,0.52,0.42,0.64,0.66,0.76,0.39,0.56,0.52,0.63,0.56,0.4,0.47,0.54,0.54,0.47,0.69,0.49,0.53
2003,0.57,0.6,0.52,0.5,0.5,0.42,0.49,0.44,0.47,0.49,0.42,0.52,0.5,0.49,0.55,0.51,0.45,0.46
2004,0.5,0.53,0.4,0.52,0.23,0.41,0.05,0.4,0.41,0.52,0.48,0.57,0.42,0.41,0.52,0.38,0.29,0.47
2005,0.55,0.49,0.54,0.43,0.48,0.5,0.5,0.54,0.52,0.55,0.42,0.52,0.5,0.51,0.54,0.49,0.51,0.49
2006,0.47,0.5,0.47,0.37,0.22,0.5,0.41,0.72,0.48,0.44,0.53,0.43,0.46,0.47,0.5,0.35,0.54,0.48
2007,0.58,0.5,0.49,0.45,0.66,0.57,0.55,0.46,0.52,0.33,0.35,0.22,0.47,0.49,0.51,0.53,0.53,0.4
2008,0.27,0.17,0.34,0.42,0.38,0.37,0.6,0.36,0.64,0.48,0.41,0.43,0.41,0.39,0.22,0.38,0.44,0.51
2009,0.46,0.36,0.48,0.52,0.64,0.62,0.8,0.64,0.61,0.52,0.78,0.69,0.59,0.57,0.42,0.55,0.69,0.64
2010,0.69,0.74,0.74,0.57,0.58,0.51,0.37,0.48,0.56,0.52,0.43,0.39,0.55,0.57,0.71,0.63,0.45,0.5
2011,0.41,0.39,0.42,0.45,0.41,0.48,0.67,0.77,0.4,0.41,0.5,0.32,0.47,0.48,0.4,0.43,0.64,0.44
2012,0.3,0.4,0.44,0.38,0.6,0.36,0.31,0.51,0.58,0.66,0.59,0.6,0.48,0.45,0.34,0.47,0.39,0.61
2013,0.56,0.46,0.53,0.4,0.44,0.61,0.51,0.66,0.84,0.55,0.54,0.55,0.55,0.56,0.54,0.46,0.59,0.64
2014,0.53,0.38,0.36,0.51,0.82,0.53,0.39,0.73,0.91,0.68,0.53,0.47,0.57,0.58,0.49,0.56,0.55,0.71
2015,0.51,0.61,0.58,0.48,0.56,0.58,0.56,0.61,0.54,0.89,0.74,0.78,0.62,0.6,0.53,0.54,0.58,0.73
2016,0.79,0.79,0.81,0.73,0.79,0.49,0.66,0.91,0.59,0.74,0.7,0.68,0.72,0.73,0.79,0.78,0.69,0.68
2017,0.65,0.75,0.8,0.69,0.89,0.52,0.66,0.72,0.54,0.74,0.52,0.46,0.66,0.68,0.69,0.79,0.63,0.6
2018,0.47,0.44,0.6,0.79,0.63,0.68,0.74,0.65,0.64,0.79,0.68,0.72,0.65,0.63,0.46,0.68,0.69,0.7
2019,0.65,0.77,0.79,0.77,0.71,0.62,0.85,0.78,0.63,0.71,0.8,0.79,0.74,0.73,0.72,0.75,0.75,0.71
2020,0.74,0.77,0.67,0.85,0.76,0.71,0.69,0.61,0.77,0.55,0.59,0.39,0.68,0.71,0.77,0.76,0.67,0.64
2021,0.36,0.32,0.56,0.38,0.53,0.5,***,***,***,***,***,***,***,***,0.35,0.49,***,***
